DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
06/01/14 10,1.558549762,4.962010384,3.66521287,2.962581635,2.107415676,5.5,3.445806503,97.8139801,1,97.83333588,1,0,0,0,0,0,0,0,0,51.11663818,1,35.102005,1,0,0,30.59559059,1,0,0,64.59233093,1,2.974624872,34.1460495,29.92802429,70.85574341,29.88581657,85.00648499,19.68383217,81.48110962,19.57337952,67.63316345,32.38159561,31.48159599,0
06/01/14 11,1.480653882,5.09930563,3.267485142,2.984019995,2.51137495,5.5,3.180091143,97.17651367,1,97.19568634,1,0,0,0,0,0,0,0,0,50.48497009,1,34.8270874,1,0,0,30.15743446,1,0,0,65.51077271,1,2.974930286,34.48935318,30.10523033,68.06663513,30.06398392,86.45205688,20.08379364,82.35285187,19.9762516,69.46888733,32.55892181,31.6589222,0
06/01/14 12,1.464823008,5.165903568,3.014807701,3.339660406,2.993499279,5.5,3.408365726,96.73049164,1,96.74953461,1,0,0,36.70872116,1,0,0,0,0,50.3417778,1,35.20183563,1,0,0,29.9102993,1,0,0,70.40828705,1,2.975142956,34.7290802,29.29765511,88.3857193,29.37275887,86.0417099,20.22981262,81.85157776,20.12389755,70.41146851,32.2211113,31.32111168,0
06/01/14 13,1.483956218,4.995484352,3.487367868,3.579058409,3.326382637,5.5,3.785472631,98.11657715,1,98.13602448,1,0,0,35.34583282,1,0,0,0,0,50.04778671,1,34.65527725,1,0,0,30.59756088,1,0,0,66.66996002,1,2.974479437,33.98280334,29.09587097,90.59918213,29.16355896,86.41004181,19.6270237,82.19142914,19.5165596,67.57226563,31.97415161,31.07415199,0
06/01/14 14,1.383690715,4.80074358,4.016099453,3.867702961,3.713591337,5.5,3.423741341,97.75424194,1,97.77357483,1,0,0,36.36361313,1,0,0,0,0,50.43630219,1,34.63451385,1,0,0,30.49135399,1,0,0,69.30025482,1,2.974653721,34.17825699,28.91435814,88.62404633,28.98730469,85.46949005,19.78449249,82.38387299,19.67473412,68.07797241,31.82725334,30.92725182,0
06/01/14 15,1.351577759,4.622988701,4.467820644,3.870457172,3.834753752,5.5,3.306835175,97.2080307,1,97.227211,1,0,0,35.25778198,1,0,0,0,0,50.1049118,1,0,0,0,0,31.46052933,1,0,0,73.02650452,1,2.974915266,34.47240067,28.88155746,90.53725433,28.9486599,86.08367157,26.5147438,63.28424835,26.3984375,71.54483032,31.79224396,30.89224434,0
06/01/14 16,1.454622388,4.498590946,4.968505383,4.042951584,3.154073477,5.5,3.761552334,97.48462677,1,97.50388336,1,0,0,35.42295837,1,0,0,0,0,49.91370392,1,0,0,0,0,31.16769791,1,0,0,73.11764526,1,2.974782944,34.32352448,28.75884247,90.12820435,28.82716942,86.33525848,26.51165771,62.75992203,26.3973484,72.54261017,31.670681,30.77067947,0
06/01/14 17,1.531664848,4.459219456,5.227668762,4.251245499,2.498228073,5.5,4.325009346,96.87580109,1,96.8948822,1,0,0,0,0,0,0,0,0,50.23461914,1,0,0,0,0,31.14130402,1,0,0,72.08485413,1,2.975073814,34.65102768,29.66145325,73.70934296,29.62058449,86.50061798,26.79067039,61.1104393,26.67654037,72.91122437,32.14736176,31.24736404,0
06/01/14 18,1.662596226,4.692703724,4.881355762,4.418207169,1.695821404,5.457266331,4.600045204,96.69158936,1,96.71061707,1,0,0,0,0,0,0,0,0,49.88613129,1,0,0,0,0,0,0,0,0,72.84320831,1,2.975161552,34.7499733,29.93460274,71.94670105,29.89425659,87.45646667,29.75946999,61.09668732,29.75946999,57.80732727,32.42221069,31.52220917,0
06/01/14 19,1.839003086,5.200705051,4.478942394,3.476736307,1.61395812,5.075688839,2.8340168,96.62551117,1,96.64451599,1,0,0,0,0,0,0,0,0,0,0,37.47453308,1,0,0,0,0,0,0,52.70525742,1,2.975193024,34.78544998,32.18773651,75.01400757,32.18773651,65.65013123,26.14368629,83.61464691,26.14368629,56.14635468,34.39481735,33.49481583,0
06/01/14 20,1.904377818,5.341542244,4.231824875,3.133621454,2.033003569,5.156223774,2.630538702,94.20583344,1,94.22412872,1,0,0,0,0,0,0,0,0,50.66266632,1,35.65434647,1,0,0,31.09724236,1,0,0,0,0,2.976331234,36.07855606,28.30500984,69.64670563,28.26349449,84.295784,20.83034515,81.66543579,20.71651268,67.1002655,38.84271622,29.68478584,0
06/01/14 21,2.113526106,4.804581642,3.771476269,2.995400906,2.414629698,5.302019596,2.595057249,94.61585236,1,94.63426971,1,0,0,0,0,0,0,0,0,50.3873291,1,35.8299408,1,0,0,31.02902222,1,0,0,0,0,2.976140022,35.86026382,27.78849983,69.23648071,27.74740028,84.32632446,20.69318771,81.21790314,20.57981873,67.19374084,38.67678452,29.16636848,0
06/01/14 22,2.286261559,4.270418167,3.312794924,2.927209377,2.675187349,5.449744225,2.597607613,95.12552643,1,95.14408875,1,0,0,0,0,0,0,0,0,49.94182968,1,35.60447693,1,0,0,31.20998192,1,0,0,0,0,2.975901604,35.58844376,27.28723145,69.63594818,27.24680138,84.70036316,20.53848839,81.4617691,20.42389107,66.42581177,38.45688629,28.66203499,0
06/01/14 23,2.416870594,3.651043892,3.097697735,3.014529943,2.957579851,5.47525692,2.239348888,93.96343231,1,93.98165894,1,0,0,33.87069321,1,0,0,0,0,48.66868973,1,35.48164749,1,0,0,31.23981285,1,0,0,0,0,2.976444006,36.20745087,23.52216721,87.52146149,23.58368111,83.46806335,21.17960358,82.31853485,21.06480408,66.96536255,39.13111496,25.2808342,0
07/01/14 00,2.607121229,2.778149605,3.555041075,2.942568064,3.324789286,5.5,2.316275597,92.15810394,1,92.17581177,1,0,0,34.04050446,1,0,0,0,0,47.93692398,1,35.61757278,1,0,0,30.6853466,1,0,0,0,0,2.977275372,37.16366577,22.71158409,86.42974854,22.77509689,84.01251984,22.27083206,83.16908264,22.15977669,69.92253876,40.21264267,24.46529007,0
07/01/14 01,2.877932787,1.911337376,3.962922096,3.108027935,3.734824896,5.5,2.732932329,91.55882263,1,91.57635498,1,0,0,32.76961136,1,0,0,0,0,47.68461227,1,35.34600449,1,0,0,29.6560688,1,0,0,0,0,2.977548122,37.479599,22.02114677,87.8039856,22.07815361,83.77355957,23.02060318,84.39061737,22.91634941,74.01348114,40.64487839,23.75218582,0
07/01/14 02,3.235788345,1.060649276,4.408648491,3.213152647,3.692978144,5.5,3.837960005,89.10109711,1,89.11793518,1,0,0,31.7172966,1,0,0,0,0,46.71263123,1,0,0,0,0,31.63829422,1,0,0,0,0,2.978651524,38.76756668,21.39710617,88.82126617,21.44997978,84.87845612,31.11203003,63.94313812,30.99450302,75.52735901,42.56335449,23.10201836,0
07/01/14 03,3.537875891,0.598529577,4.891717434,3.61491704,3.149378538,5.5,4.760171413,94.71517944,1,94.73362732,1,0,0,32.50293732,1,0,0,0,0,47.32859802,1,0,0,0,0,30.11108017,1,0,0,110.3344421,1,2.976093769,35.80733109,25.78687668,91.99146271,25.84298134,88.18199921,28.85421944,63.61788177,28.74698257,78.38941956,28.8700676,27.97006798,0
07/01/14 04,3.711315393,1.00368011,5.238499165,4.355088711,2.648571253,5.264410019,3.75186038,93.65237427,1,93.67051697,1,0,0,0,0,0,0,0,0,47.4573555,1,0,0,0,0,0,0,0,0,103.5122223,1,2.976588249,36.37267303,28.06275368,76.73646545,28.02597046,90.13160706,31.83476448,63.88697433,31.83476448,59.8118515,30.72956848,29.82956886,0
07/01/14 05,3.970421791,1.841392875,5.052161694,4.014130592,2.334351301,4.984752655,2.649715424,91.89987183,1,91.91750336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.71140289,1,2.97739315,37.29988861,31.83768463,76.65491486,31.83768463,68.76856232,32.76791382,62.9829216,32.76791382,58.7857132,34.22208023,33.32208252,0
07/01/14 06,4.170001507,2.721005917,4.873477936,3.185648203,1.871332645,5.266190529,3.264763832,92.83798981,1,92.85588837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.82122612,1,0,0,79.75022125,1,2.976963758,36.80432892,31.99996376,73.66582489,31.99996376,64.52824402,29.70902824,61.85277939,29.59023857,73.48715973,34.34209061,33.4420929,0
07/01/14 07,4.231367111,3.286911488,4.540533543,3.170560837,1.715471506,5.5,4.611917496,94.8093338,1,94.82780457,1,0,0,0,0,0,0,0,0,49.91280365,1,35.6089325,1,0,0,29.68713188,1,0,0,89.84152222,1,2.976049662,35.75714111,29.29046059,74.85836792,29.25007439,86.75991058,22.50327873,83.41300201,22.3988266,73.40066528,31.87944031,30.97943878,0
07/01/14 08,4.162424088,3.707723379,4.28140831,3.592989922,2.351185083,5.33817625,4.182901382,94.5903244,1,94.60874176,1,0,0,0,0,0,0,0,0,49.61433411,1,38.10055923,1,0,0,0,0,0,0,88.61574554,1,2.976151943,35.87385941,29.66281319,73.1969986,29.62287521,87.71125793,28.18691063,84.47937775,28.18691063,56.52046204,32.24186325,31.34186172,0
07/01/14 09,4.138679504,4.111327648,3.953895807,4.113110542,2.767278671,4.996231079,2.508523703,95.89868927,1,95.91748047,1,0,0,0,0,0,0,0,0,50.66718674,1,36.04135513,1,0,0,31.37047005,1,0,0,82.13100433,1,2.975537539,35.17510605,29.68578911,69.53164673,29.64426613,85.66766357,21.32253838,81.47289276,21.20684814,66.66159058,32.23183823,31.33183861,0
07/01/14 10,3.942647934,4.434588909,3.498983622,4.086578846,2.990160942,5.103669643,2.321804047,95.65205383,1,95.67077637,1,0,0,0,0,0,0,0,0,50.83013535,1,35.34045792,1,0,0,31.31250381,1,0,0,80.81112671,1,2.975653887,35.30708313,29.94260597,69.84294891,29.90083504,85.5983429,21.58427429,82.97032928,21.46897888,67.12171936,32.48191833,31.58192062,0
07/01/14 11,3.784921885,4.743138313,3.070426702,4.008674145,3.440233469,5.258015156,2.351032734,95.60882568,1,95.62753296,1,0,0,0,0,0,0,0,0,51.01483917,1,35.11381149,1,0,0,31.23282433,1,0,0,78.90984344,1,2.975674152,35.33020782,30.16248322,70.42066956,30.1204319,85.44665527,21.62071228,83.39998627,21.50595856,67.43009949,32.69194031,31.79193878,0
07/01/14 12,3.634097338,4.778978825,3.340961933,3.872041941,3.908295155,5.429802418,2.469969273,96.64450836,1,96.66352081,1,0,0,34.37781906,1,0,0,0,0,49.80597687,1,34.40787506,1,0,0,31.25193977,1,0,0,78.76986694,1,2.975183964,34.77524948,29.16085625,92.31620789,29.22348022,86.94698334,21.17270851,84.1595993,21.05782509,66.91699219,32.08615494,31.18615341,0
07/01/14 13,3.545375586,4.751684189,3.923485279,4.228160858,3.538444042,5.5,2.520871162,94.32103729,1,94.33937073,1,0,0,34.66307831,1,0,0,0,0,48.70787811,1,0,0,0,0,32.3015976,1,0,0,88.55005646,1,2.97627759,36.01725388,29.1967907,91.87049866,29.26262856,89.07706451,28.70411873,62.65504837,28.58198738,70.78414917,32.17467499,31.27467346,0
07/01/14 14,3.665616274,5.014493942,4.486351013,4.084255695,2.807299614,5.5,2.911110878,95.07566833,1,95.09421539,1,0,0,36.55092621,1,0,0,0,0,0,0,0,0,0,0,32.03793716,1,0,0,75.43373108,1,2.975924969,35.61505508,30.92687416,90.29993439,31.04208565,63.99961853,28.54262733,62.32935715,28.42233658,71.55904388,33.46319199,32.56319427,0
07/01/14 15,3.709055901,5.310124874,4.970983505,3.067291498,2.13804698,5.5,3.38284421,94.92681885,1,94.94532776,1,0,0,35.50569153,1,0,0,0,0,50.49549103,1,0,0,0,0,31.81989098,1,0,0,82.76251984,1,2.975994587,35.6944809,29.68394852,90.9093399,29.75187111,86.11660767,28.65447617,61.75458908,28.53569794,72.43719482,32.65884399,31.75884247,0
07/01/14 16,3.755107403,5.36011982,5.251832962,3.35581398,1.51236105,5.5,3.932129145,95.05445099,1,95.07299805,1,0,0,0,0,0,0,0,0,50.76106644,1,36.1777916,1,0,0,30.1469059,1,0,0,76.85608673,1,2.975934744,35.62638092,30.71013069,72.66796875,30.66846466,86.50428772,21.88601494,81.79050446,21.77854156,71.30513763,33.22603226,32.32603455,0
07/01/14 17,3.820002079,5.249827385,4.86203146,3.616797447,1.925999761,5.5,4.362700462,91.40457916,1,91.42207336,1,0,0,0,0,0,0,0,0,49.82615662,1,35.83790588,1,0,0,30.35238838,1,0,0,0,0,2.977618217,37.56079865,28.27513313,73.36116791,28.23487663,85.91318512,23.18455124,83.69262695,23.07571793,71.93426514,40.97797394,29.64914513,0
07/01/14 18,4.056392193,4.722014904,4.516458035,3.830002069,2.519642115,5.499157906,4.796068192,89.78939056,1,89.806427,1,0,0,0,0,0,0,0,0,49.49236679,1,38.30948257,1,0,0,0,0,0,0,0,0,2.978345156,38.40813065,27.7717514,71.6384964,27.73199272,86.05496216,30.11722946,86.01125336,30.11722946,56.18070602,42.2637825,29.14348793,0
07/01/14 19,4.421161652,4.197774887,4.11616087,4.062268257,3.06811285,5.056208611,2.696011782,90.78160858,1,90.79892731,1,0,0,0,0,0,0,0,0,49.75424957,1,38.73403931,1,0,0,0,0,0,0,0,0,2.977900028,37.88825226,27.22835732,70.18538666,27.18820763,85.00605774,29.71839333,84.79531097,29.71839333,51.91049576,41.76718521,28.60187721,0
07/01/14 20,4.460157394,3.670406342,3.677999258,3.979997158,3.322579384,4.936018944,1.775664687,113.116539,1,0,0,0,0,0,0,0,0,0,0,49.62767029,1,35.52661514,1,0,0,31.75796318,1,0,0,0,0,2.990801334,25.69574928,26.71025658,70.1770401,26.67029572,84.73277283,21.99354172,83.05571747,21.87519073,65.99256134,38.25617218,28.08291245,0
07/01/14 21,4.309084892,3.144225121,3.25494647,3.855441809,3.727010012,4.96862936,1.463244915,113.2462158,1,0,0,0,0,0,0,0,0,0,0,49.33926392,1,35.33895493,1,0,0,31.79827118,1,0,0,0,0,2.990781784,25.62213707,26.20512009,65.05962372,26.16558838,84.78199005,21.92687035,83.31729889,21.80824089,65.78517151,38.1525383,27.5758152,0
07/01/14 22,4.216401577,2.419224739,3.166238546,3.797997236,3.757426262,4.976800919,1.132822752,112.8685989,1,0,0,0,0,34.35998535,1,0,0,0,0,47.80016708,1,0,0,0,0,33.33517456,1,0,0,0,0,2.990838528,25.83641434,22.33036995,85.51564026,22.3958416,83.88161469,28.81039047,61.91755295,28.68092346,67.11473846,38.40592957,24.08774948,0
07/01/14 23,4.228125095,1.550256014,3.55440855,3.742539167,2.895451784,5.124137402,1.211651564,113.2921219,1,0,0,0,0,33.35321426,1,0,0,0,0,47.3201561,1,0,0,0,0,33.291996,1,0,0,0,0,2.99077487,25.59606934,21.63271713,86.47864532,21.69337463,84.04472351,28.69808578,60.97848511,28.56892967,67.16331482,38.26036072,23.36914063,0
08/01/14 00,4.190461636,0.697145045,3.967834473,3.806771994,2.023667097,5.264657497,1.278046727,112.8534088,1,0,0,0,0,32.95584488,1,0,0,0,0,46.78485107,1,0,0,0,0,32.87840271,1,0,0,0,0,2.990840912,25.84502792,20.88443947,86.37034607,20.94372559,84.24382782,28.86842537,61.27535248,28.74222565,68.86251831,38.40179443,22.60915947,0
08/01/14 01,3.858678102,0.578669548,4.398703098,4.005930901,1.596616745,5.5,1.766465664,117.8412476,1,0,0,0,0,33.17753601,1,0,0,0,0,47.42898941,1,35.17665482,1,0,0,29.94282532,1,0,0,93.81478882,1,2.990077019,22.99441338,25.18704796,90.31707764,25.24660492,87.40692139,19.9417057,81.60725403,19.83557701,70.01900482,28.16243362,27.26243401,0
08/01/14 02,3.409188032,0.709509432,4.906391144,4.588085651,2.064437628,5.5,2.343464136,116.9177399,1,0,0,0,0,33.93974686,1,0,0,0,0,0,0,34.71487808,1,0,0,29.49619675,1,0,0,84.10836029,1,2.990220547,23.52552414,27.33224678,91.21739197,27.43268204,67.01815033,20.67263603,83.13124847,20.56941986,72.16880798,29.89128876,28.99128914,0
08/01/14 03,3.062007904,1.283608794,5.226935387,3.434652805,2.682858706,5.5,3.189885139,116.1233902,1,0,0,0,0,0,0,0,0,0,0,0,0,34.47368622,1,0,0,29.0676899,1,0,0,69.78369141,1,2.990343332,23.9811554,29.62527466,76.3139267,29.62527466,68.24623871,21.26818466,84.13553619,21.16772652,74.09753418,31.91217613,31.01217651,0
08/01/14 04,2.781007767,1.919411898,5.012852669,3.019271374,3.35615015,5.5,4.210718632,117.1002197,1,0,0,0,0,0,0,0,0,0,0,48.47489166,1,33.99742126,1,0,0,28.45633125,1,0,0,80.95256805,1,2.990192413,23.42070007,27.55509567,75.82047272,27.51683807,87.76277161,20.91308594,84.57878876,20.81650734,75.59709167,30.07918549,29.17918587,0
08/01/14 05,2.513667345,2.266314983,4.781545639,3.69926548,3.964548111,5.431467056,4.663723946,115.2966919,1,0,0,0,0,0,0,0,0,0,0,48.49482727,1,0,0,0,0,0,0,0,0,85.56422424,1,2.990470171,24.4541626,28.12678337,75.68128967,28.08849716,88.29710388,30.00225639,64.4599762,30.00225639,60.88862991,30.67901802,29.77901649,0
08/01/14 06,2.518253803,2.651568174,4.555794716,4.359623432,3.46923399,5.197042465,3.632018805,116.0425415,1,0,0,0,0,0,0,0,0,0,0,49.35166931,1,0,0,0,0,0,0,0,0,81.77258301,1,2.99035573,24.02746773,28.27873039,74.3364563,28.23918152,86.83181,29.84387589,63.28437042,29.84387589,60.49155045,30.81360817,29.91360855,0
08/01/14 07,2.470347404,3.155261278,4.268828869,3.817269802,2.847944736,4.960142136,2.793300152,116.2567368,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.50435638,1,2.990322828,23.90475082,30.72092628,73.76335907,30.72092628,68.07781982,29.84514999,62.56389618,29.84514999,57.30170822,32.96210098,32.06210327,0
08/01/14 08,2.302320719,3.722501993,3.967937708,3.072585821,2.210079908,5.119093895,2.886864185,117.785675,1,0,0,0,0,0,0,0,0,0,0,49.98625565,1,0,0,0,0,32.22162247,1,0,0,67.84747314,1,2.99008584,23.02641869,28.80521584,71.98056793,28.76472092,86.13228607,26.19939613,60.82891083,26.07782555,68.56455994,31.26722527,30.36722565,0
08/01/14 09,2.05405283,3.901546717,3.602235079,3.410506964,1.408573151,5.349679947,3.113795996,119.8347778,1,0,0,0,0,0,0,0,0,0,0,50.1904335,1,35.34438705,1,0,0,30.39601898,1,0,0,54.97586441,1,2.989763975,21.84287453,28.73839569,69.04586029,28.69759178,85.66446686,18.35386086,79.73402405,18.24473763,66.96067047,31.14150047,30.24150085,0
08/01/14 10,1.670823097,3.941008329,3.142842054,3.581768513,1.65737474,5.469258308,2.964026928,119.6967163,1,0,0,0,0,0,0,0,0,0,0,50.06726456,1,34.81839752,1,0,0,30.1842823,1,0,0,54.73601913,1,2.989785671,21.92284393,28.77766228,71.18478394,28.73704529,85.94539642,18.58684731,80.87093353,18.47912788,67.88466644,31.17889977,30.27890015,0
08/01/14 11,1.316450596,3.786153316,3.302708864,3.778964043,2.069642544,5.5,3.360179424,119.8059845,1,0,0,0,0,35.399189,1,0,0,0,0,49.26804352,1,34.9808197,1,0,0,29.61366844,1,0,0,60.17426682,1,2.989768505,21.85955429,27.7056942,89.1163559,27.77484703,86.52758789,18.58977509,80.59261322,18.48579597,69.71566772,30.54515457,29.64515495,0
08/01/14 12,0.988353968,3.526828051,3.794728041,4.122321606,2.381962299,5.5,3.645080566,97.94597626,1,97.9654007,1,0,0,33.74588776,1,0,0,0,0,49.48774338,1,34.45892334,1,0,0,30.10615921,1,0,0,76.00969696,1,2.974561453,34.07486343,27.90151596,92.10634613,27.96113968,86.29297638,19.661623,82.55779266,19.55441856,69.21252441,30.79749107,29.89749146,0
08/01/14 13,0.941772461,3.452262163,4.363233566,4.347210884,2.931885242,5.5,3.735835791,98.86882019,1,98.88848877,1,0,0,33.80058289,1,0,0,0,0,49.26853943,1,34.61544418,1,0,0,29.92360306,1,0,0,72.99876404,1,2.974115849,33.57621002,27.78575897,91.90061188,27.84600639,86.59741211,19.2187748,81.84857178,19.11277199,69.35777283,30.66365623,29.76365662,0
08/01/14 14,0.834233403,3.458778858,4.913973331,4.191091061,3.329271078,5.5,3.854398251,97.99053192,1,98.0099411,1,0,0,36.00483322,1,0,0,0,0,0,0,34.69049454,1,0,0,29.65312958,1,0,0,68.64164734,1,2.974539995,34.05082703,29.06384468,89.41295624,29.17588806,62.11304092,19.57736588,82.07819366,19.47313118,70.57848358,31.55767632,30.6576767,0
08/01/14 15,0.809380233,3.674769878,5.36254549,3.019572973,3.699578047,5.5,4.204053879,98.14835358,1,98.16780853,1,0,0,0,0,0,0,0,0,49.54421997,1,34.49857712,1,0,0,29.4729805,1,0,0,70.11523438,1,2.97446394,33.96565247,28.83925247,72.76514435,28.7994194,87.0308609,19.60167503,82.42830658,19.49860954,71.170784,31.30993462,30.409935,0
08/01/14 16,0.810405076,3.892076969,4.972863674,3.532976866,3.83655262,5.5,4.641205788,97.7392807,1,97.75862122,1,0,0,0,0,0,0,0,0,49.94709396,1,0,0,0,0,31.25059509,1,0,0,71.04104614,1,2.974660873,34.18631744,29.07171249,72.54682159,29.0312748,86.47460175,26.04186821,63.24165344,25.92699623,71.79071808,31.55007362,30.65007401,0
08/01/14 17,0.983265519,4.131626129,4.589788437,3.852510691,3.14896059,5.313519955,3.912636042,97.05825806,1,97.07739258,1,0,0,0,0,0,0,0,0,50.1687355,1,0,0,0,0,0,0,0,0,73.86992645,1,2.974986792,34.55295563,29.39754295,72.65136719,29.35677147,86.36632538,29.24240303,62.63093567,29.24240303,56.59064102,31.89268875,30.99268913,0
08/01/14 18,1.18270421,4.372282028,4.226067543,4.075895786,2.47337532,5.055346966,2.542949677,96.95723724,1,96.97634125,1,0,0,0,0,0,0,0,0,50.07601166,1,0,0,0,0,32.40599442,1,0,0,71.53500366,1,2.975034952,34.60726166,29.56279945,72.29938507,29.52216911,86.71340179,26.38386917,61.90552139,26.2610054,68.09003448,32.04467392,31.1446743,0
08/01/14 19,1.319487691,4.597844601,3.86282444,4.33027029,1.789986849,5.261506557,2.697639942,97.3846283,1,97.40385437,1,0,0,0,0,0,0,0,0,50.15804291,1,0,0,0,0,32.45648575,1,0,0,68.76826477,1,2.974830866,34.37736511,29.70056343,71.93682861,29.65980911,86.69029999,26.2812252,60.85213852,26.15800667,67.80599976,32.16847992,31.26847839,0
08/01/14 20,1.353457451,4.832066536,3.499608994,4.302370071,1.623393774,5.40946579,2.659153938,97.6786499,1,97.69796753,1,0,0,0,0,0,0,0,0,0,0,35.1664238,1,0,0,30.79687691,1,0,0,49.84707642,1,2.97468996,34.21899796,31.62415123,69.52533722,31.62415123,61.19604492,19.49186134,81.17835236,19.38005829,66.77194977,33.81974792,32.9197464,0
08/01/14 21,1.318640232,5.25146389,3.059942484,3.002961636,2.042032003,5.5,2.513798475,98.6419754,1,98.66157532,1,0,0,0,0,0,0,0,0,51.40832901,1,35.60052872,1,0,0,30.67840385,1,0,0,58.21216965,1,2.97422576,33.69893646,30.1012764,67.30545807,30.05862045,84.58676147,19.00662613,79.93504333,18.89561844,66.6813736,32.52699661,31.62699509,0
